opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,weights_1,23,63,29,53.90,1.24,1.02,0.60
weights_2,weights_2,21,63,29,33.31,1.03,1.02,0.53
heuristic_1,heuristic_1,30,64,30,53.17,1.23,1.02,0.50
heuristic_2,heuristic_2,24,64,30,42.27,1.37,1.03,0.55
heuristic_3,heuristic_3,29,63,29,44.31,1.28,1.02,0.53
heuristic_4,heuristic_4,21,62,28,42.64,1.11,1.02,0.52
heuristic_5,bad_player,34,63,29,42.79,1.00,1.02,0.50
time_3,time_3,31,64,30,56.60,1.23,1.02,0.54
time_10,time_10,0,56,23,70.96,1.61,1.02,0.70
weights_3,weights_3,4,52,22,68.50,1.59,1.02,0.56
weights_4,bad_player,54,64,30,57.13,1.10,1.01,0.56
weights_5,weights_5,27,63,29,46.10,1.41,1.01,0.55
weights_6,weights_6,21,64,30,36.60,1.07,1.03,0.54
weights_7,weights_7,23,64,30,54.43,1.17,1.01,0.57
