player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.7868, 'mob': 0.6504, 'stable': 0.0343, 'parity': 0.0704, 'pos': 0.3266}, 'medio': {'corner': 0.2752, 'mob': 0.3236, 'stable': 0.2017, 'parity': 0.7226, 'pos': 0.2274}, 'final': {'corner': 0.7419, 'mob': 0.3482, 'stable': 0.5747, 'parity': 0.7517, 'pos': 0.5638}}",minimax,minimax,49,60,61
"{'apertura': {'corner': 0.5718, 'mob': 0.6722, 'stable': 0.524, 'parity': 0.868, 'pos': 0.3184}, 'medio': {'corner': 0.488, 'mob': 0.7334, 'stable': 0.9084, 'parity': 0.4039, 'pos': 0.5093}, 'final': {'corner': 0.7041, 'mob': 0.1319, 'stable': 0.926, 'parity': 0.4454, 'pos': 0.3273}}",minimax,"{'apertura': {'corner': 0.5718, 'mob': 0.6722, 'stable': 0.524, 'parity': 0.868, 'pos': 0.3184}, 'medio': {'corner': 0.488, 'mob': 0.7334, 'stable': 0.9084, 'parity': 0.4039, 'pos': 0.5093}, 'final': {'corner': 0.7041, 'mob': 0.1319, 'stable': 0.926, 'parity': 0.4454, 'pos': 0.3273}}",38,63,61
"{'apertura': {'corner': 0.1673, 'mob': 0.5739, 'stable': 0.0468, 'parity': 0.4004, 'pos': 0.8032}, 'medio': {'corner': 0.4896, 'mob': 0.4049, 'stable': 0.9376, 'parity': 0.0546, 'pos': 0.6751}, 'final': {'corner': 0.0058, 'mob': 0.7738, 'stable': 0.0367, 'parity': 0.3285, 'pos': 0.4191}}",minimax,"{'apertura': {'corner': 0.1673, 'mob': 0.5739, 'stable': 0.0468, 'parity': 0.4004, 'pos': 0.8032}, 'medio': {'corner': 0.4896, 'mob': 0.4049, 'stable': 0.9376, 'parity': 0.0546, 'pos': 0.6751}, 'final': {'corner': 0.0058, 'mob': 0.7738, 'stable': 0.0367, 'parity': 0.3285, 'pos': 0.4191}}",55,61,60
"{'apertura': {'corner': 0.076, 'mob': 0.8901, 'stable': 0.5475, 'parity': 0.9316, 'pos': 0.3677}, 'medio': {'corner': 0.9531, 'mob': 0.9477, 'stable': 0.0012, 'parity': 0.3431, 'pos': 0.6939}, 'final': {'corner': 0.7682, 'mob': 0.0111, 'stable': 0.8093, 'parity': 0.7068, 'pos': 0.5104}}",minimax,minimax,35,64,60
"{'apertura': {'corner': 0.9224, 'mob': 0.3032, 'stable': 0.9994, 'parity': 0.3818, 'pos': 0.4609}, 'medio': {'corner': 0.639, 'mob': 0.6647, 'stable': 0.7595, 'parity': 0.042, 'pos': 0.2939}, 'final': {'corner': 0.5038, 'mob': 0.4005, 'stable': 0.3857, 'parity': 0.2146, 'pos': 0.2453}}",minimax,minimax,40,64,60
"{'apertura': {'corner': 0.558, 'mob': 0.4343, 'stable': 0.7931, 'parity': 0.6757, 'pos': 0.2582}, 'medio': {'corner': 0.1808, 'mob': 0.6402, 'stable': 0.405, 'parity': 0.1822, 'pos': 0.0576}, 'final': {'corner': 0.1217, 'mob': 0.1958, 'stable': 0.4342, 'parity': 0.2143, 'pos': 0.2509}}",minimax,minimax,48,64,60
"{'apertura': {'corner': 0.2415, 'mob': 0.2232, 'stable': 0.9888, 'parity': 0.5301, 'pos': 0.3833}, 'medio': {'corner': 0.2029, 'mob': 0.5431, 'stable': 0.7601, 'parity': 0.6487, 'pos': 0.7425}, 'final': {'corner': 0.1831, 'mob': 0.7955, 'stable': 0.6468, 'parity': 0.8018, 'pos': 0.8007}}",minimax,"{'apertura': {'corner': 0.2415, 'mob': 0.2232, 'stable': 0.9888, 'parity': 0.5301, 'pos': 0.3833}, 'medio': {'corner': 0.2029, 'mob': 0.5431, 'stable': 0.7601, 'parity': 0.6487, 'pos': 0.7425}, 'final': {'corner': 0.1831, 'mob': 0.7955, 'stable': 0.6468, 'parity': 0.8018, 'pos': 0.8007}}",43,64,62
"{'apertura': {'corner': 0.7887, 'mob': 0.7819, 'stable': 0.4674, 'parity': 0.3962, 'pos': 0.937}, 'medio': {'corner': 0.0314, 'mob': 0.5697, 'stable': 0.0207, 'parity': 0.3042, 'pos': 0.9978}, 'final': {'corner': 0.3456, 'mob': 0.855, 'stable': 0.6667, 'parity': 0.8899, 'pos': 0.9222}}",minimax,"{'apertura': {'corner': 0.7887, 'mob': 0.7819, 'stable': 0.4674, 'parity': 0.3962, 'pos': 0.937}, 'medio': {'corner': 0.0314, 'mob': 0.5697, 'stable': 0.0207, 'parity': 0.3042, 'pos': 0.9978}, 'final': {'corner': 0.3456, 'mob': 0.855, 'stable': 0.6667, 'parity': 0.8899, 'pos': 0.9222}}",47,64,60
"{'apertura': {'corner': 0.0816, 'mob': 0.0637, 'stable': 0.9981, 'parity': 0.7147, 'pos': 0.7084}, 'medio': {'corner': 0.3346, 'mob': 0.0445, 'stable': 0.3119, 'parity': 0.9438, 'pos': 0.8513}, 'final': {'corner': 0.0783, 'mob': 0.5402, 'stable': 0.7783, 'parity': 0.7402, 'pos': 0.1742}}",minimax,"{'apertura': {'corner': 0.0816, 'mob': 0.0637, 'stable': 0.9981, 'parity': 0.7147, 'pos': 0.7084}, 'medio': {'corner': 0.3346, 'mob': 0.0445, 'stable': 0.3119, 'parity': 0.9438, 'pos': 0.8513}, 'final': {'corner': 0.0783, 'mob': 0.5402, 'stable': 0.7783, 'parity': 0.7402, 'pos': 0.1742}}",45,64,60
"{'apertura': {'corner': 0.2547, 'mob': 0.1365, 'stable': 0.2016, 'parity': 0.947, 'pos': 0.7514}, 'medio': {'corner': 0.854, 'mob': 0.6418, 'stable': 0.6556, 'parity': 0.9931, 'pos': 0.4318}, 'final': {'corner': 0.8245, 'mob': 0.105, 'stable': 0.9639, 'parity': 0.9272, 'pos': 0.0077}}",minimax,"{'apertura': {'corner': 0.2547, 'mob': 0.1365, 'stable': 0.2016, 'parity': 0.947, 'pos': 0.7514}, 'medio': {'corner': 0.854, 'mob': 0.6418, 'stable': 0.6556, 'parity': 0.9931, 'pos': 0.4318}, 'final': {'corner': 0.8245, 'mob': 0.105, 'stable': 0.9639, 'parity': 0.9272, 'pos': 0.0077}}",45,64,60
