player 1,player 2,winner,winner points,Total_points,depth,epocs
"{'apertura': {'corner': 0.8406, 'mob': 0.8859, 'stable': 0.4426, 'parity': 0.5011, 'pos': 0.8872}, 'medio': {'corner': 0.972, 'mob': 0.3463, 'stable': 0.5771, 'parity': 0.1611, 'pos': 0.8986}, 'final': {'corner': 0.579, 'mob': 0.5636, 'stable': 0.371, 'parity': 0.5604, 'pos': 0.4234}}",greedy,"{'apertura': {'corner': 0.8406, 'mob': 0.8859, 'stable': 0.4426, 'parity': 0.5011, 'pos': 0.8872}, 'medio': {'corner': 0.972, 'mob': 0.3463, 'stable': 0.5771, 'parity': 0.1611, 'pos': 0.8986}, 'final': {'corner': 0.579, 'mob': 0.5636, 'stable': 0.371, 'parity': 0.5604, 'pos': 0.4234}}",37,63,62,1
"{'apertura': {'corner': 0.2176, 'mob': 0.955, 'stable': 0.8068, 'parity': 0.6909, 'pos': 0.6044}, 'medio': {'corner': 0.2002, 'mob': 0.6428, 'stable': 0.5155, 'parity': 0.011, 'pos': 0.081}, 'final': {'corner': 0.1272, 'mob': 0.0841, 'stable': 0.44, 'parity': 0.636, 'pos': 0.0801}}",greedy,"{'apertura': {'corner': 0.2176, 'mob': 0.955, 'stable': 0.8068, 'parity': 0.6909, 'pos': 0.6044}, 'medio': {'corner': 0.2002, 'mob': 0.6428, 'stable': 0.5155, 'parity': 0.011, 'pos': 0.081}, 'final': {'corner': 0.1272, 'mob': 0.0841, 'stable': 0.44, 'parity': 0.636, 'pos': 0.0801}}",42,63,59,1
"{'apertura': {'corner': 0.754, 'mob': 0.6726, 'stable': 0.7633, 'parity': 0.6224, 'pos': 0.8939}, 'medio': {'corner': 0.405, 'mob': 0.6355, 'stable': 0.84, 'parity': 0.0653, 'pos': 0.2879}, 'final': {'corner': 0.8103, 'mob': 0.7658, 'stable': 0.2555, 'parity': 0.9219, 'pos': 0.8767}}",greedy,"{'apertura': {'corner': 0.754, 'mob': 0.6726, 'stable': 0.7633, 'parity': 0.6224, 'pos': 0.8939}, 'medio': {'corner': 0.405, 'mob': 0.6355, 'stable': 0.84, 'parity': 0.0653, 'pos': 0.2879}, 'final': {'corner': 0.8103, 'mob': 0.7658, 'stable': 0.2555, 'parity': 0.9219, 'pos': 0.8767}}",43,64,60,1
"{'apertura': {'corner': 0.2289, 'mob': 0.0029, 'stable': 0.4077, 'parity': 0.3588, 'pos': 0.8797}, 'medio': {'corner': 0.3449, 'mob': 0.0477, 'stable': 0.742, 'parity': 0.9718, 'pos': 0.9085}, 'final': {'corner': 0.8292, 'mob': 0.0916, 'stable': 0.5787, 'parity': 0.327, 'pos': 0.9134}}",greedy,"{'apertura': {'corner': 0.2289, 'mob': 0.0029, 'stable': 0.4077, 'parity': 0.3588, 'pos': 0.8797}, 'medio': {'corner': 0.3449, 'mob': 0.0477, 'stable': 0.742, 'parity': 0.9718, 'pos': 0.9085}, 'final': {'corner': 0.8292, 'mob': 0.0916, 'stable': 0.5787, 'parity': 0.327, 'pos': 0.9134}}",41,62,59,1
"{'apertura': {'corner': 0.0806, 'mob': 0.3481, 'stable': 0.6498, 'parity': 0.9519, 'pos': 0.0583}, 'medio': {'corner': 0.6825, 'mob': 0.9393, 'stable': 0.8581, 'parity': 0.8179, 'pos': 0.2365}, 'final': {'corner': 0.0209, 'mob': 0.9103, 'stable': 0.3316, 'parity': 0.457, 'pos': 0.9795}}",greedy,,,62,60,1
"{'apertura': {'corner': 0.5933, 'mob': 0.1111, 'stable': 0.1897, 'parity': 0.9647, 'pos': 0.1111}, 'medio': {'corner': 0.4758, 'mob': 0.1674, 'stable': 0.455, 'parity': 0.6041, 'pos': 0.6515}, 'final': {'corner': 0.8562, 'mob': 0.1098, 'stable': 0.1437, 'parity': 0.8692, 'pos': 0.8477}}",greedy,"{'apertura': {'corner': 0.5933, 'mob': 0.1111, 'stable': 0.1897, 'parity': 0.9647, 'pos': 0.1111}, 'medio': {'corner': 0.4758, 'mob': 0.1674, 'stable': 0.455, 'parity': 0.6041, 'pos': 0.6515}, 'final': {'corner': 0.8562, 'mob': 0.1098, 'stable': 0.1437, 'parity': 0.8692, 'pos': 0.8477}}",52,61,59,1
"{'apertura': {'corner': 0.4064, 'mob': 0.9212, 'stable': 0.6548, 'parity': 0.735, 'pos': 0.8854}, 'medio': {'corner': 0.9189, 'mob': 0.7457, 'stable': 0.217, 'parity': 0.329, 'pos': 0.5512}, 'final': {'corner': 0.1188, 'mob': 0.7131, 'stable': 0.8714, 'parity': 0.5984, 'pos': 0.0814}}",greedy,greedy,41,64,62,1
"{'apertura': {'corner': 0.8254, 'mob': 0.5913, 'stable': 0.0735, 'parity': 0.8348, 'pos': 0.1734}, 'medio': {'corner': 0.1002, 'mob': 0.6545, 'stable': 0.5925, 'parity': 0.1265, 'pos': 0.9088}, 'final': {'corner': 0.9162, 'mob': 0.842, 'stable': 0.0852, 'parity': 0.1502, 'pos': 0.7039}}",greedy,greedy,54,62,59,1
"{'apertura': {'corner': 0.2111, 'mob': 0.8406, 'stable': 0.4034, 'parity': 0.6947, 'pos': 0.1276}, 'medio': {'corner': 0.3872, 'mob': 0.8939, 'stable': 0.6743, 'parity': 0.726, 'pos': 0.4412}, 'final': {'corner': 0.4999, 'mob': 0.4875, 'stable': 0.0772, 'parity': 0.7377, 'pos': 0.4803}}",greedy,greedy,44,64,62,1
"{'apertura': {'corner': 0.7261, 'mob': 0.6206, 'stable': 0.2569, 'parity': 0.4704, 'pos': 0.6672}, 'medio': {'corner': 0.2297, 'mob': 0.6068, 'stable': 0.7587, 'parity': 0.9253, 'pos': 0.1885}, 'final': {'corner': 0.3916, 'mob': 0.4009, 'stable': 0.1404, 'parity': 0.7276, 'pos': 0.6168}}",greedy,"{'apertura': {'corner': 0.7261, 'mob': 0.6206, 'stable': 0.2569, 'parity': 0.4704, 'pos': 0.6672}, 'medio': {'corner': 0.2297, 'mob': 0.6068, 'stable': 0.7587, 'parity': 0.9253, 'pos': 0.1885}, 'final': {'corner': 0.3916, 'mob': 0.4009, 'stable': 0.1404, 'parity': 0.7276, 'pos': 0.6168}}",34,64,60,1
"{'apertura': {'corner': 0.9616, 'mob': 0.6876, 'stable': 0.4309, 'parity': 0.4394, 'pos': 0.8958}, 'medio': {'corner': 0.9587, 'mob': 0.9013, 'stable': 0.2807, 'parity': 0.7401, 'pos': 0.3049}, 'final': {'corner': 0.5768, 'mob': 0.6857, 'stable': 0.4821, 'parity': 0.9505, 'pos': 0.996}}",greedy,greedy,44,64,62,1
"{'apertura': {'corner': 0.1645, 'mob': 0.4937, 'stable': 0.4685, 'parity': 0.575, 'pos': 0.8995}, 'medio': {'corner': 0.1802, 'mob': 0.2591, 'stable': 0.6481, 'parity': 0.091, 'pos': 0.3781}, 'final': {'corner': 0.8173, 'mob': 0.7541, 'stable': 0.1444, 'parity': 0.7547, 'pos': 0.4511}}",greedy,greedy,36,63,60,1
"{'apertura': {'corner': 0.8361, 'mob': 0.8686, 'stable': 0.8084, 'parity': 0.7501, 'pos': 0.4489}, 'medio': {'corner': 0.7827, 'mob': 0.7854, 'stable': 0.868, 'parity': 0.9846, 'pos': 0.6161}, 'final': {'corner': 0.9183, 'mob': 0.2814, 'stable': 0.5254, 'parity': 0.914, 'pos': 0.749}}",greedy,greedy,41,64,62,1
"{'apertura': {'corner': 0.1476, 'mob': 0.9175, 'stable': 0.026, 'parity': 0.8903, 'pos': 0.1457}, 'medio': {'corner': 0.9329, 'mob': 0.1725, 'stable': 0.2046, 'parity': 0.0015, 'pos': 0.4}, 'final': {'corner': 0.3116, 'mob': 0.7517, 'stable': 0.5009, 'parity': 0.6096, 'pos': 0.3734}}",greedy,greedy,36,64,60,1
"{'apertura': {'corner': 0.3032, 'mob': 0.3958, 'stable': 0.2066, 'parity': 0.3114, 'pos': 0.8775}, 'medio': {'corner': 0.6672, 'mob': 0.5127, 'stable': 0.9485, 'parity': 0.2311, 'pos': 0.1331}, 'final': {'corner': 0.0891, 'mob': 0.5697, 'stable': 0.0502, 'parity': 0.5377, 'pos': 0.5554}}",greedy,greedy,42,64,62,1
"{'apertura': {'corner': 0.6075, 'mob': 0.8554, 'stable': 0.8783, 'parity': 0.5602, 'pos': 0.4451}, 'medio': {'corner': 0.425, 'mob': 0.4496, 'stable': 0.4114, 'parity': 0.8244, 'pos': 0.6361}, 'final': {'corner': 0.7922, 'mob': 0.2522, 'stable': 0.2938, 'parity': 0.729, 'pos': 0.5085}}",greedy,greedy,45,62,65,1
"{'apertura': {'corner': 0.0806, 'mob': 0.3481, 'stable': 0.6498, 'parity': 0.9519, 'pos': 0.0583}, 'medio': {'corner': 0.6825, 'mob': 0.9393, 'stable': 0.8581, 'parity': 0.8179, 'pos': 0.2365}, 'final': {'corner': 0.0209, 'mob': 0.9103, 'stable': 0.3316, 'parity': 0.457, 'pos': 0.9795}}",heuristic_2,"{'apertura': {'corner': 0.0806, 'mob': 0.3481, 'stable': 0.6498, 'parity': 0.9519, 'pos': 0.0583}, 'medio': {'corner': 0.6825, 'mob': 0.9393, 'stable': 0.8581, 'parity': 0.8179, 'pos': 0.2365}, 'final': {'corner': 0.0209, 'mob': 0.9103, 'stable': 0.3316, 'parity': 0.457, 'pos': 0.9795}}",52,62,61,2
"{'apertura': {'corner': 0.5933, 'mob': 0.1111, 'stable': 0.1897, 'parity': 0.9647, 'pos': 0.1111}, 'medio': {'corner': 0.4758, 'mob': 0.1674, 'stable': 0.455, 'parity': 0.6041, 'pos': 0.6515}, 'final': {'corner': 0.8562, 'mob': 0.1098, 'stable': 0.1437, 'parity': 0.8692, 'pos': 0.8477}}",heuristic_2,"{'apertura': {'corner': 0.5933, 'mob': 0.1111, 'stable': 0.1897, 'parity': 0.9647, 'pos': 0.1111}, 'medio': {'corner': 0.4758, 'mob': 0.1674, 'stable': 0.455, 'parity': 0.6041, 'pos': 0.6515}, 'final': {'corner': 0.8562, 'mob': 0.1098, 'stable': 0.1437, 'parity': 0.8692, 'pos': 0.8477}}",46,62,61,2
"{'apertura': {'corner': 0.7261, 'mob': 0.6206, 'stable': 0.2569, 'parity': 0.4704, 'pos': 0.6672}, 'medio': {'corner': 0.2297, 'mob': 0.6068, 'stable': 0.7587, 'parity': 0.9253, 'pos': 0.1885}, 'final': {'corner': 0.3916, 'mob': 0.4009, 'stable': 0.1404, 'parity': 0.7276, 'pos': 0.6168}}",heuristic_2,heuristic_2,55,60,61,2
"{'apertura': {'corner': 0.2289, 'mob': 0.0029, 'stable': 0.4077, 'parity': 0.3588, 'pos': 0.8797}, 'medio': {'corner': 0.3449, 'mob': 0.0477, 'stable': 0.742, 'parity': 0.9718, 'pos': 0.9085}, 'final': {'corner': 0.8292, 'mob': 0.0916, 'stable': 0.5787, 'parity': 0.327, 'pos': 0.9134}}",heuristic_2,"{'apertura': {'corner': 0.2289, 'mob': 0.0029, 'stable': 0.4077, 'parity': 0.3588, 'pos': 0.8797}, 'medio': {'corner': 0.3449, 'mob': 0.0477, 'stable': 0.742, 'parity': 0.9718, 'pos': 0.9085}, 'final': {'corner': 0.8292, 'mob': 0.0916, 'stable': 0.5787, 'parity': 0.327, 'pos': 0.9134}}",55,64,65,2
