opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,weights_1,7,64,30,8.03,1.00,0.07,0.06
weights_2,greedy,37,63,29,8.07,1.00,0.07,0.06
heuristic_1,greedy,53,64,30,10.07,1.00,0.09,0.07
heuristic_2,heuristic_2,3,61,27,6.81,1.00,0.06,0.05
heuristic_3,heuristic_3,20,62,28,6.54,1.00,0.06,0.05
heuristic_4,heuristic_4,18,64,30,8.37,1.00,0.07,0.06
heuristic_5,heuristic_5,19,63,29,6.21,1.00,0.05,0.05
time_3,time_3,31,64,30,7.80,1.00,0.07,0.06
time_10,time_10,29,63,29,6.31,1.00,0.04,0.05
weights_3,weights_3,12,62,28,5.82,1.00,0.05,0.04
weights_4,weights_4,29,64,30,7.60,1.00,0.06,0.06
weights_5,weights_5,1,56,23,6.70,1.00,0.05,0.04
weights_6,weights_6,20,64,30,8.90,1.00,0.09,0.06
weights_7,weights_7,24,64,30,8.00,1.00,0.08,0.06
