opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,weights_1,31,63,29,35.07,1.03,1.02,0.51
weights_2,minimax_base,52,52,26,41.42,1.31,1.02,0.55
heuristic_1,minimax_base,41,64,30,40.37,1.17,1.03,0.51
heuristic_2,heuristic_2,21,63,29,18.93,1.03,1.03,0.61
heuristic_3,heuristic_3,31,64,30,19.70,1.03,1.03,0.57
heuristic_4,minimax_base,47,64,30,36.83,1.17,1.02,0.49
heuristic_5,minimax_base,33,63,29,40.31,1.38,1.02,0.54
time_3,time_3,26,64,30,29.77,1.07,1.02,0.55
time_10,minimax_base,48,63,30,43.47,1.37,1.01,0.67
weights_3,weights_3,14,63,29,39.52,1.86,1.02,0.64
weights_4,minimax_base,47,64,30,40.50,1.50,1.02,0.54
weights_5,weights_5,30,63,29,39.21,1.62,1.01,0.56
weights_6,,32,64,30,29.33,1.07,1.02,0.53
weights_7,weights_7,9,63,30,44.33,1.80,1.02,0.57
