opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,weights_2,43,64,30,40.83,1.20,1.03,0.52
heuristic_1,weights_2,39,62,30,24.87,1.00,1.02,0.56
heuristic_4,weights_2,42,62,30,44.13,1.33,1.02,0.54
heuristic_2,weights_2,58,62,30,39.27,1.67,1.02,0.52
heuristic_5,heuristic_5,30,64,30,40.37,1.10,1.02,0.54
heuristic_3,weights_2,52,64,30,37.83,1.50,1.02,0.53
greedy,greedy,26,63,30,30.47,1.00,1.02,0.56
minimax_base,minimax_base,0,52,22,38.14,1.23,1.02,0.50
random,weights_2,47,64,30,40.50,1.20,1.02,0.51
time_3,time_3,14,64,30,41.37,1.43,1.02,0.57
bad_player,weights_2,42,63,30,33.67,0.97,1.02,0.52
time_10,weights_2,34,64,30,43.77,1.20,1.02,0.55
weights_3,weights_3,8,61,27,47.96,2.00,1.02,0.60
weights_4,weights_4,30,61,27,36.26,1.15,1.02,0.61
weights_5,weights_2,54,64,30,41.53,1.30,1.02,0.52
weights_6,weights_2,33,63,29,39.83,1.45,1.02,0.55
Deybby,weights_2,44,64,30,183.00,2.27,1.01,1.15
weights_7,weights_7,22,64,30,41.30,1.57,1.02,0.58
